app_name,workload_id,spark_master,data_set_size,iterations,clusters,interruption,cur_step,start_time,end_time,duration_sec
PageRank,workload_02,yarn,.1GB,10,8,0,1,1970-01-01 00:00:00,2023-08-01 23:22:15,1690932135
PageRank,workload_02,yarn,.1GB,10,8,1,1,1970-01-01 00:00:00,2023-08-01 23:25:33,1690932333
PageRank,workload_02,yarn,.1GB,10,8,1,2,2023-08-01 23:27:33,2023-08-01 23:30:55,201
PageRank,workload_02,yarn,.1GB,10,8,2,1,2023-08-01 23:31:04,2023-08-01 23:34:17,192
PageRank,workload_02,yarn,.1GB,10,8,2,2,2023-08-01 23:36:17,2023-08-01 23:38:58,161
PageRank,workload_02,yarn,.1GB,10,8,2,3,1970-01-01 00:00:00,2023-08-01 23:42:48,1690933368
PageRank,workload_02,yarn,.1GB,10,8,3,1,1970-01-01 00:00:00,2023-08-01 23:45:26,1690933526
PageRank,workload_02,yarn,.1GB,10,8,3,2,2023-08-01 23:47:26,2023-08-01 23:49:33,126
PageRank,workload_02,yarn,.1GB,10,8,3,3,1970-01-01 00:00:00,2023-08-01 23:53:58,1690934038
PageRank,workload_02,yarn,.1GB,10,8,3,4,2023-08-01 23:55:58,2023-08-01 23:57:04,65
PageRank,workload_02,yarn,.1GB,10,8,4,1,2023-08-01 23:57:14,2023-08-01 23:59:03,108
PageRank,workload_02,yarn,.1GB,10,8,4,2,2023-08-02 00:01:03,2023-08-02 00:02:37,93
PageRank,workload_02,yarn,.1GB,10,8,4,3,2023-08-02 00:04:37,2023-08-02 00:06:14,97
PageRank,workload_02,yarn,.1GB,10,8,4,4,1970-01-01 00:00:00,2023-08-02 00:09:43,1690934983
PageRank,workload_02,yarn,.1GB,10,8,4,5,1970-01-01 00:00:00,2023-08-02 00:13:21,1690935201
PageRank,workload_02,yarn,.1GB,10,8,5,1,2023-08-02 00:13:31,2023-08-02 00:14:43,72
PageRank,workload_02,yarn,.1GB,10,8,5,2,1970-01-01 00:00:00,2023-08-02 00:17:43,1690935463
PageRank,workload_02,yarn,.1GB,10,8,5,3,1970-01-01 00:00:00,2023-08-02 00:20:46,1690935646
PageRank,workload_02,yarn,.1GB,10,8,5,4,1970-01-01 00:00:00,2023-08-02 00:23:49,1690935829
PageRank,workload_02,yarn,.1GB,10,8,5,5,2023-08-02 00:25:49,2023-08-02 00:26:55,66
PageRank,workload_02,yarn,.1GB,10,8,5,6,2023-08-02 00:28:55,2023-08-02 00:32:20,204
K-Means,workload_01,yarn,1.5GB,10,8,0,1,2023-08-02 11:25:29,2023-08-02 11:27:57,147
K-Means,workload_01,yarn,1.5GB,10,8,1,1,2023-08-02 11:28:07,2023-08-02 11:30:00,113
K-Means,workload_01,yarn,1.5GB,10,8,1,2,1970-01-01 00:00:00,2023-08-02 11:33:13,1690975993
K-Means,workload_01,yarn,1.5GB,10,8,2,1,1970-01-01 00:00:00,2023-08-02 11:35:16,1690976116
K-Means,workload_01,yarn,1.5GB,10,8,2,2,1970-01-01 00:00:00,2023-08-02 11:38:31,1690976311
K-Means,workload_01,yarn,1.5GB,10,8,2,3,2023-08-02 11:40:31,2023-08-02 11:41:39,68
K-Means,workload_01,yarn,1.5GB,10,8,3,1,1970-01-01 00:00:00,2023-08-02 11:43:32,1690976612
K-Means,workload_01,yarn,1.5GB,10,8,3,2,2023-08-02 11:45:32,2023-08-02 11:46:45,73
K-Means,workload_01,yarn,1.5GB,10,8,3,3,2023-08-02 11:48:45,2023-08-02 11:49:53,67
K-Means,workload_01,yarn,1.5GB,10,8,3,4,1970-01-01 00:00:00,2023-08-02 11:52:51,1690977171
K-Means,workload_01,yarn,1.5GB,10,8,4,1,1970-01-01 00:00:00,2023-08-02 11:54:51,1690977291
K-Means,workload_01,yarn,1.5GB,10,8,4,2,2023-08-02 11:56:51,2023-08-02 11:57:54,63
K-Means,workload_01,yarn,1.5GB,10,8,4,3,2023-08-02 11:59:54,2023-08-02 12:01:02,68
K-Means,workload_01,yarn,1.5GB,10,8,4,4,1970-01-01 00:00:00,2023-08-02 12:04:07,1690977847
K-Means,workload_01,yarn,1.5GB,10,8,4,5,2023-08-02 12:06:07,2023-08-02 12:07:08,61
K-Means,workload_01,yarn,1.5GB,10,8,5,1,1970-01-01 00:00:00,2023-08-02 12:08:51,1690978131
K-Means,workload_01,yarn,1.5GB,10,8,5,2,1970-01-01 00:00:00,2023-08-02 12:11:49,1690978309
K-Means,workload_01,yarn,1.5GB,10,8,5,3,2023-08-02 12:13:49,2023-08-02 12:14:54,64
K-Means,workload_01,yarn,1.5GB,10,8,5,4,1970-01-01 00:00:00,2023-08-02 12:18:00,1690978680
K-Means,workload_01,yarn,1.5GB,10,8,5,5,2023-08-02 12:20:00,2023-08-02 12:21:03,63
K-Means,workload_01,yarn,1.5GB,10,8,5,6,2023-08-02 12:23:03,2023-08-02 12:24:14,70
